127.0.0.1, 2015-10-26 21:47:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000282
127.0.0.1, 2015-10-26 21:48:23, GET, /, HTTP/1.1, 500, 0.038316
127.0.0.1, 2015-10-26 21:48:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000286
127.0.0.1, 2015-10-26 21:48:25, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-48-23.82874a6f-722a-4c04-93f9-587966de7749, HTTP/1.1, 200, 0.053234
127.0.0.1, 2015-10-26 21:48:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000286
127.0.0.1, 2015-10-26 21:48:59, GET, /, HTTP/1.1, 500, 0.044701
127.0.0.1, 2015-10-26 21:48:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
127.0.0.1, 2015-10-26 21:49:00, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-48-58.2eea2bef-4973-46a8-a76d-85d60b89a2ed, HTTP/1.1, 200, 0.052775
127.0.0.1, 2015-10-26 21:49:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000298
127.0.0.1, 2015-10-26 21:49:27, GET, /, HTTP/1.1, 500, 0.049319
127.0.0.1, 2015-10-26 21:49:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
127.0.0.1, 2015-10-26 21:49:29, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-49-27.34349599-fa1a-4398-b06b-bcff1c736402, HTTP/1.1, 200, 0.053694
127.0.0.1, 2015-10-26 21:49:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000338
127.0.0.1, 2015-10-26 21:50:01, GET, /, HTTP/1.1, 500, 0.063958
127.0.0.1, 2015-10-26 21:50:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000344
127.0.0.1, 2015-10-26 21:50:03, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-50-01.075cbf0b-f0c9-458e-a145-006e2fd5e1de, HTTP/1.1, 200, 0.054409
127.0.0.1, 2015-10-26 21:50:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000261
127.0.0.1, 2015-10-26 21:51:42, GET, /, HTTP/1.1, 500, 0.055490
127.0.0.1, 2015-10-26 21:51:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000668
127.0.0.1, 2015-10-26 21:51:43, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-51-42.6549bd31-2a0f-447f-a619-15e9ab84222a, HTTP/1.1, 200, 0.060326
127.0.0.1, 2015-10-26 21:51:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000666
127.0.0.1, 2015-10-26 21:54:29, GET, /, HTTP/1.1, 500, 0.059354
127.0.0.1, 2015-10-26 21:54:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000367
127.0.0.1, 2015-10-26 21:54:31, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-54-29.df9a5984-6bdb-4059-bd67-f2bb14d71114, HTTP/1.1, 200, 0.047064
127.0.0.1, 2015-10-26 21:54:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000447
127.0.0.1, 2015-10-26 21:59:21, GET, /, HTTP/1.1, 200, 0.044307
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000989
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000635
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001098
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.000837
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.000491
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.001524
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.000468
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000705
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000473
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/js/share.js, HTTP/1.1, 200, 0.000453
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/images/background.jpg, HTTP/1.1, 200, 0.000341
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/images/twitter.png, HTTP/1.1, 200, 0.000638
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/images/facebook.png, HTTP/1.1, 200, 0.000529
127.0.0.1, 2015-10-26 21:59:21, GET, /init/static/images/gplus-32.png, HTTP/1.1, 200, 0.000691
127.0.0.1, 2015-10-26 21:59:41, GET, /admin, HTTP/1.1, 303, 0.004946
127.0.0.1, 2015-10-26 21:59:41, GET, /admin/default/site, HTTP/1.1, 200, 0.043176
127.0.0.1, 2015-10-26 21:59:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000298
127.0.0.1, 2015-10-26 21:59:42, POST, /admin/default/check_version, HTTP/1.1, 200, 0.342440
127.0.0.1, 2015-10-26 21:59:50, GET, /init/admin, HTTP/1.1, 303, 0.031396
127.0.0.1, 2015-10-26 21:59:51, GET, /init/default/user/login, HTTP/1.1, 200, 0.031652
127.0.0.1, 2015-10-26 21:59:56, GET, /init/default/user/register, HTTP/1.1, 200, 0.048051
127.0.0.1, 2015-10-26 22:00:11, POST, /init/default/user/register, HTTP/1.1, 303, 0.033473
127.0.0.1, 2015-10-26 22:00:11, GET, /init/admin/index, HTTP/1.1, 303, 0.024869
127.0.0.1, 2015-10-26 22:00:11, GET, /init/default/user/not_authorized, HTTP/1.1, 200, 0.040388
127.0.0.1, 2015-10-26 22:00:20, GET, /admin, HTTP/1.1, 303, 0.005285
127.0.0.1, 2015-10-26 22:00:20, GET, /admin/default/site, HTTP/1.1, 200, 0.042350
127.0.0.1, 2015-10-26 22:00:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2015-10-26 22:00:29, GET, /init/admin, HTTP/1.1, 303, 0.037519
127.0.0.1, 2015-10-26 22:00:29, GET, /init/default/user/not_authorized, HTTP/1.1, 200, 0.030185
127.0.0.1, 2015-10-26 22:00:31, GET, /init/appadmin/index, HTTP/1.1, 200, 0.047634
127.0.0.1, 2015-10-26 22:00:31, GET, /init/appadmin/index, HTTP/1.1, 200, 0.057833
127.0.0.1, 2015-10-26 22:00:31, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.094297
127.0.0.1, 2015-10-26 22:00:34, GET, /init/appadmin/select/db, HTTP/1.1, 200, 0.063962
127.0.0.1, 2015-10-26 22:00:37, GET, /init/appadmin/index, HTTP/1.1, 200, 0.070335
127.0.0.1, 2015-10-26 22:00:37, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.094245
127.0.0.1, 2015-10-26 22:00:39, GET, /init/appadmin/select/db, HTTP/1.1, 200, 0.093985
127.0.0.1, 2015-10-26 22:00:44, GET, /init/appadmin/update/db/auth_group/1, HTTP/1.1, 200, 0.068235
127.0.0.1, 2015-10-26 22:00:52, POST, /init/appadmin/update/db/auth_group/1, HTTP/1.1, 303, 0.050102
127.0.0.1, 2015-10-26 22:00:52, GET, /init/appadmin/select/db, HTTP/1.1, 200, 0.055917
127.0.0.1, 2015-10-26 22:01:00, GET, /init/admin, HTTP/1.1, 500, 0.061859
